Episode Number,Key,Value,Order
1,drox1,"Drox:Fiend, the purpose of strength is to show mercy; and yet to you it is its own end. Like a child you cannot see beyond the thing itself to its purpose. You are...limited.",13
1,balor2.1,Balor: 'He said pedantically.',3
1,balor2.2,Balor:Is what one of you should have said...amateurs.,4
1,bgSide4,"Boethius:Of course sir. Simile is exactly like a metaphor. Better said, it is where you take the situation at hand and restate the exact same thing using difficult to understand words.",10
1,balor2,Balor:Don't answer that.,2
1,bgSide3,"Boethius:Yeah! They will be like a thing that is significantly less potent and less fast! They will be so amazed by the other thing, which is us, that they will be in an awe inspired coma!",9
1,bgSide5,Boethius:Nailed it.,12
1,balor3,Balor:I verify the accuracy of this story. Continue.,5
1,balor4,Balor:HAHAHA! I'm laughing because what you said is painful! Painful because you don't have something that is awesome! HA! Good stuff.,6
1,bgSide2,Boethius:Yes sir! Their insolence will come to an end. We will fall on them like a thing with high mass falling on a thing with very little structural integrity!!!,8
1,bgSide4.1,Boethius:It's like when you say something in a cave and the cave echoes it back. You could say that cave is 'metaphoring' you with a simile.,11
1,bgSide1,Boethius:Welcome sir. I have scouted the town of Heahill as you requested.,7
1,balor1,Balor:Did someone say powerfully pedantic?,1
1,drox2,Drox:An astute summary. I wonder how you never picked up on the magic thing before.,14
1,grey1,Dark Hood:The town of Heahill. It's people are weak and overwhelmed with distraction...We will fall on them like a bird on its prey.,15
1,grey2,Dark Hood:They will be like a flower that is so mesmerized by the feeding hummingbird that it cannot move for fear that it will disrupt perfection.,16
1,grey3,Dark Hood:Are you familiar with the concept of a simile?,17
1,grey4,Dark Hood:You just...never mind...continue scouting...from here.,18
1,grey5,"Dark Hood:Actually it is, but he's really only gotten things started. Allow me.",19
1,grey5.1,Dark Hood:Fuge hiuuxa y'est gei,20
1,grey6,Dark Hood:The mother as well? Cute. I'm taking the child...where is the child?,21
1,grey7,"You know me?? Interesting. No matter, if you are as powerful as you are pedantic then I've stumbled on true potential.",22
1,grey8,"Dark Hood:Arrogance, how common. But three adepts in the same household, that's beyond coincidence. The father seems bewildered though, is he without powers? Improbable...",23
1,grey9,Dark Hood:Improbable...I detest surprises. I'll be back for the boy when the time is right.,24
1,lucca1,Lucca:....,25
1,lucca2,Lucca:Buwi adayahee fiece iweb qaei.,26
1,Mallurian:mallurian18,"Seriously, nothing man...",27
1,mallurian1,Mallurian:He's here. *Click anywhere on the screen or press spacebar to progress dialog*,28
1,mallurian10,"Mallurian:That's what the cleric said too. Anyway, he had left me a note with only a few words on it. His dying words, which are of course well known to be the most true words one says, were:",29
1,mallurian10.1,"Mallurian:'The water lillies are the lyingest of all flowers.' Deep stuff. Anyway, what were you saying?",30
1,mallurian11,Mallurian:He's a pragmatic.,31
1,mallurian12,"Mallurian:So before, he was talking about himself.",32
1,mallurian13,Mallurian:I think...I think he doesn't appreciate waiting.,33
1,mallurian14,Mallurian:Sorry! I'm nervous and I mean who refers to themselves in the third person? That shouldn't even be a thing.,34
1,mallurian15,Mallurian:He struggles with words.,35
1,mallurian16,"Mallurian:Sen how did you just? Where is? Drox, is that you over there? Where the heck did you come from?",36
